id,TARGET,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_WORK_PHONE,REGION_RATING_CLIENT,HOUR_APPR_PROCESS_START
117408,0,0,202500.0,1724688.0,52420.5,1575000.0,0.007305,-16346,-174,-7462,-4278,1,3,14
115930,0,1,630000.0,531000.0,35482.5,531000.0,0.072508,-13288,-2578,-7386,-4531,1,1,12
116320,1,0,36000.0,127350.0,12532.5,112500.0,0.010276,-24799,365243,-7762,-4462,0,2,10
121936,1,2,157500.0,497520.0,53712.0,450000.0,0.006852,-11806,-165,-4878,-3010,0,3,5
100614,0,0,90000.0,180000.0,9000.0,180000.0,0.015221,-8126,-155,-7219,-786,0,2,13
141216,0,0,270000.0,450000.0,35685.0,450000.0,0.04622,-14404,-117,-614,-2079,0,1,16
133977,0,0,180000.0,334152.0,18126.0,270000.0,0.015221,-12102,-3034,-5151,-2672,1,2,13
120967,1,0,49500.0,85320.0,5832.0,67500.0,0.0105,-22815,365243,-14209,-4029,0,3,15
105260,0,0,40500.0,490536.0,17748.0,405000.0,0.00963,-17518,-3259,-3690,-1060,0,2,18
131094,1,0,360000.0,900000.0,29164.5,900000.0,0.006207,-19327,-1035,-9011,-2500,0,2,11
149828,0,0,225000.0,1288350.0,37800.0,1125000.0,0.011703,-11744,-1527,-2739,-4110,0,2,11
141675,0,2,157500.0,272520.0,17415.0,225000.0,0.031329,-12343,-4337,-124,-1174,1,2,16
103106,0,1,81000.0,225000.0,16501.5,225000.0,0.011657,-9580,-905,-9580,-1377,1,1,12
145099,0,0,135000.0,272520.0,21658.5,225000.0,0.019101,-23024,365243,-689,-4305,0,2,11
120419,0,1,202500.0,805536.0,36531.0,720000.0,0.010147,-18469,-4185,-7349,-1977,0,2,12
143078,0,1,112500.0,286704.0,23116.5,247500.0,0.019689,-17061,-1781,-4622,-595,0,2,8
149287,0,0,157500.0,180000.0,9000.0,180000.0,0.003069,-18086,-2229,-2583,-1626,0,3,14
117195,0,0,180000.0,384048.0,18031.5,270000.0,0.019101,-18515,-7550,-10081,-2043,0,2,18
146469,0,0,157500.0,180000.0,9000.0,180000.0,0.035792,-9356,-1418,-4138,-544,0,2,17
140681,0,0,112500.0,900000.0,45000.0,900000.0,0.006207,-19456,-3660,-13123,-2996,0,2,15
147406,0,0,166500.0,225000.0,11250.0,225000.0,0.008866,-15294,-1084,-7661,-4569,0,2,16
142638,0,2,112500.0,1040463.0,36990.0,868500.0,0.003541,-14574,-96,-2906,-5623,0,1,10
142916,0,0,135000.0,306306.0,16614.0,247500.0,0.04622,-20684,365243,-11306,-4201,0,1,13
114892,0,0,315000.0,934002.0,59818.5,855000.0,0.01885,-17574,-5523,-10162,-1093,0,2,11
122246,0,0,67500.0,325908.0,13936.5,247500.0,0.020713,-20359,365243,-6030,-3495,0,3,7
113516,0,0,180000.0,270000.0,13500.0,270000.0,0.019689,-15662,-751,-8260,-4178,0,2,15
120952,1,0,135000.0,225000.0,11074.5,225000.0,0.0228,-8438,-809,-3232,-838,0,2,15
142777,0,0,103500.0,292500.0,13014.0,292500.0,0.01452,-23911,365243,-1734,-5177,0,2,10
111385,0,0,157500.0,450000.0,25128.0,450000.0,0.008575,-15101,-792,-967,-4472,1,2,12
140633,0,0,178200.0,1812456.0,47943.0,1620000.0,0.0228,-20578,365243,-4029,-1299,0,2,8
131401,0,0,135000.0,405000.0,20250.0,405000.0,0.00702,-21873,-119,-1858,-3848,0,2,14
143904,0,0,90000.0,659610.0,19417.5,472500.0,0.006671,-16243,-3406,-10230,-4055,0,2,18
143003,0,1,414000.0,1762110.0,48456.0,1575000.0,0.04622,-12151,-763,-1288,-3171,1,1,17
128417,0,1,67500.0,242595.0,12699.0,202500.0,0.016612,-13723,-837,-754,-3452,1,2,19
140391,0,0,157500.0,260640.0,20898.0,225000.0,0.005144,-12183,-2995,-4802,-4811,1,2,11
140949,0,0,56250.0,1530000.0,54954.0,1530000.0,0.011703,-17418,365243,-5086,-951,0,2,12
125026,0,0,202500.0,981000.0,28683.0,981000.0,0.028663,-18950,-11487,-4354,-2500,0,2,9
107057,0,0,202500.0,454500.0,21996.0,454500.0,0.026392,-16647,-3816,-7431,-207,0,2,14
116243,1,0,382500.0,755190.0,36459.0,675000.0,0.016612,-10834,365243,-1470,-3472,0,2,12
148104,0,1,202500.0,780363.0,39973.5,697500.0,0.00702,-10733,-2148,-2719,-1994,0,2,17
125774,0,0,108000.0,695439.0,20061.0,580500.0,0.006671,-20913,365243,-10995,-4290,0,2,13
147018,0,0,90000.0,675000.0,24043.5,675000.0,0.026392,-21482,365243,-11318,-4247,0,2,20
146751,0,0,112500.0,755190.0,28894.5,675000.0,0.010147,-17539,-828,-4244,-1086,1,2,18
148753,0,2,180000.0,180000.0,9000.0,180000.0,0.020713,-8388,-231,-491,-1046,0,3,9
137363,0,2,112500.0,274941.0,23728.5,229500.0,0.035792,-11089,-3455,-5528,-3456,0,2,16
114436,0,0,157500.0,269550.0,21739.5,225000.0,0.010147,-12387,-3334,-8384,-3955,1,2,16
146038,0,0,450000.0,2156400.0,59431.5,1800000.0,0.04622,-11595,-284,-5983,-3185,0,1,11
105611,1,0,252000.0,1042560.0,34587.0,900000.0,0.030755,-17851,-1618,-352,-1409,0,2,10
137145,0,0,202500.0,373311.0,16443.0,283500.0,0.010556,-15864,-1532,-2645,-2645,0,3,11
107213,0,0,135000.0,130320.0,13815.0,112500.0,0.011657,-18991,-1397,-9021,-2421,1,1,10
118399,0,0,135000.0,1183963.5,34749.0,927000.0,0.018801,-16312,-322,-132,-4631,0,2,13
148908,0,1,450000.0,180000.0,9000.0,180000.0,0.010032,-12266,-924,-5415,-4462,0,2,4
135289,0,2,54000.0,302206.5,13311.0,229500.0,0.00733,-16383,-4215,-7595,-4835,0,2,17
147598,1,0,180000.0,327024.0,21420.0,270000.0,0.002506,-12038,-1408,-6171,-3560,0,2,3
117291,0,0,75150.0,814041.0,23800.5,679500.0,0.025164,-10839,-3469,-4956,-2591,1,2,10
130064,0,0,135000.0,635962.5,22972.5,549000.0,0.030755,-21495,-2478,-10883,-4709,0,2,13
125861,1,1,180000.0,1078200.0,31653.0,900000.0,0.020246,-13965,-263,-779,-3019,0,3,11
145513,0,2,157500.0,622413.0,31909.5,495000.0,0.008625,-11909,-2755,-5061,-2068,1,2,16
144347,1,0,126000.0,247275.0,17338.5,225000.0,0.00496,-24138,365243,-12817,-4975,0,2,11
104887,0,0,225000.0,557770.5,20164.5,481500.0,0.02461,-9768,-95,-108,-190,0,2,19
150910,0,0,67500.0,62361.0,6745.5,58500.0,0.01885,-20547,365243,-4326,-1048,0,2,11
146147,0,1,90000.0,253737.0,20178.0,229500.0,0.018634,-10440,-773,-177,-1508,0,2,10
138494,0,0,81000.0,314100.0,16164.0,225000.0,0.019689,-21155,365243,-998,-4474,0,2,12
141893,0,0,157500.0,1236816.0,36292.5,1080000.0,0.020713,-11637,-4086,-1939,-4012,0,3,13
112342,0,0,135000.0,1267735.5,37197.0,1107000.0,0.016612,-16600,-9187,-9153,-144,0,2,17
146976,0,0,156150.0,1027327.5,43654.5,945000.0,0.007305,-16966,-10078,-9607,-519,1,3,10
134708,0,0,157500.0,707287.5,36243.0,571500.0,0.003122,-17630,-6357,-6042,-1182,0,3,16
127549,0,0,112500.0,404325.0,19449.0,337500.0,0.02461,-20704,365243,-1524,-3995,0,2,12
142960,0,1,180000.0,835380.0,42781.5,675000.0,0.032561,-11851,-1624,-6063,-4503,0,1,15
105626,0,1,90000.0,201469.5,14787.0,153000.0,0.0105,-9416,-270,-4281,-1722,0,3,14
108447,1,0,225000.0,545040.0,25537.5,450000.0,0.008866,-18769,-2576,-10582,-2295,1,2,10
111092,1,0,112500.0,390447.0,19120.5,274500.0,0.020246,-10134,-678,-103,-2814,0,3,9
130956,1,0,630000.0,719860.5,50098.5,679500.0,0.04622,-16334,-1236,-1886,-2308,0,1,18
149120,0,0,112500.0,1113399.0,45477.0,945000.0,0.022625,-9118,-978,-2006,-440,0,2,17
133559,1,0,202500.0,1344892.5,39451.5,1053000.0,0.032561,-18900,-4202,-12749,-2342,0,1,17
142564,1,1,243000.0,518562.0,25078.5,463500.0,0.002042,-13323,-3614,-903,-2471,0,3,15
111308,0,0,67500.0,661500.0,17577.0,661500.0,0.00702,-9466,-254,-7402,-2119,0,2,18
120783,0,0,135000.0,542133.0,19471.5,468000.0,0.018209,-20753,365243,-3395,-4112,0,3,14
